Event;Key;Time
Key Up;W;621685
Key Up;Left Control;621726
Key Down;W;630100
Key Up;W;630196
Key Down;W;630280
Key Up;W;630350
Key Down;Tab;637666
Key Up;Tab;638021
Key Down;W;643462
Key Up;W;643603
Key Down;D;651413
Key Up;D;653810
Key Down;W;653934
Key Up;W;654039
Key Down;R;655567
Key Up;R;655672
Key Down;E;656391
Key Up;E;656487
Key Down;E;656555
Key Up;E;656652
Key Down;Q;656797
Key Up;Q;656875
Key Down;Q;656981
Key Up;Q;657078
Key Down;Q;657164
Key Up;Q;657234
Key Down;F;658793
Key Up;F;658870
Key Down;W;665151
Key Up;W;665265
Key Down;Tab;680208
Key Up;Tab;680510
Key Down;B;681936
Key Up;B;682077
Key Down;Left Shift;682567
Key Up;Left Shift;684757
Key Down;Espace;684843
Key Up;Espace;684976
Key Down;Tab;688321
Key Up;Tab;689124
Key Down;Echap;697033
Key Up;Echap;697119
Key Down;Tab;700115
Key Up;Tab;706459
Key Down;Tab;708228
Key Up;Tab;708548
Key Down;Espace;710251
Key Up;Espace;710831
Key Down;Tab;711008
Key Up;Tab;713553
Key Down;Espace;719551
Key Up;Espace;719718
Key Down;Tab;720908
Key Up;Tab;721969
Key Down;Tab;723071
Key Up;Tab;723480
Key Down;Left Control;739723
Key Down;E;739973
Key Up;E;740070
Key Up;Left Control;740137
Key Down;Left Alt;745151
Key Up;Left Alt;746856
Key Down;4;747777
Key Up;4;747919
Key Down;4;748379
Key Up;4;748547
Key Down;3;751674
Key Up;3;751798
Key Down;4;755293
Key Up;4;755631
Key Down;4;763733
Key Up;4;765000
Key Down;4;766046
Key Up;4;766769
Key Down;4;767659
Key Up;4;767755
Key Down;Tab;768955
Key Up;Tab;769847
Key Down;Entrée;779801
Key Up;Entrée;779852
Key Down;Entrée;779967
Key Up;Entrée;780019
Key Down;Tab;787231
Key Up;Tab;787739
Key Down;Tab;787864
Key Up;Tab;788505
Key Down;Tab;796051
Key Up;Tab;796380
Key Down;Left Alt;814399
Key Up;Left Alt;814809
Key Down;Tab;830996
Key Up;Tab;831422
Key Down;Espace;840225
Key Up;Espace;840366
Key Down;Left Alt;841027
Key Up;Left Alt;842099
Key Down;Espace;842237
Key Up;Espace;842359
Key Down;W;855226
Key Up;W;855377
Key Down;Left Shift;858674
Key Up;Left Shift;859673
Key Down;Espace;859802
Key Up;Espace;859925
Key Down;W;864588
Key Up;W;864720
Key Down;3;868895
Key Up;3;869090
Key Down;Tab;871874
Key Up;Tab;872069
Key Down;W;877545
Key Up;W;877713
Key Down;V;880542
Key Up;V;880657
Key Down;Entrée;888300
Key Up;Entrée;888424
Key Down;Entrée;888686
Key Up;Entrée;888773
Key Down;Left Alt;889277
Key Down;Tab;889376
Key Up;Left Alt;889498
Key Up;Tab;889499
