Event;Key;Time
Key Up;A;361103
Key Down;Z;361286
Key Up;Z;361386
Key Down;Entrée;366748
Key Up;Entrée;366817
Key Down;T;366874
Key Up;T;366954
Key Down;Y;367012
Key Up;Y;367085
Key Down;Entrée;367122
Key Up;Entrée;367188
Key Down;A;381070
Key Up;A;381184
Key Down;B;384746
Key Up;B;384859
Key Down;Left Control;385508
Key Down;A;386181
Key Up;A;386274
Key Up;Left Control;386473
Key Down;Echap;398552
Key Up;Echap;398669
Key Down;Echap;400893
Key Up;Echap;400964
Key Down;Tab;401076
Key Up;Tab;401730
Key Down;Tab;402725
Key Up;Tab;405535
Key Down;Espace;406879
Key Down;Tab;406973
Key Up;Espace;408629
Key Down;Espace;408744
Key Up;Espace;408757
Key Down;Espace;408830
Key Up;Espace;408986
Key Down;Espace;411163
Key Up;Tab;411325
Key Down;Tab;412616
Key Up;Tab;416195
Key Down;Tab;416421
Key Up;Tab;417190
Key Up;Espace;417483
Key Down;A;427860
Key Up;A;427973
Key Down;A;431859
Key Up;A;431955
Key Down;Left Control;499466
Key Down;R;499713
Key Up;R;499824
Key Up;Left Control;500019
Key Down;A;504367
Key Up;A;504475
Key Down;A;516131
Key Up;A;516249
Key Down;A;516336
Key Up;A;516456
Key Down;A;524381
Key Up;A;524475
Key Down;A;534555
Key Up;A;534660
Key Down;Z;537695
Key Up;Z;537814
Key Down;A;551389
Key Up;A;551488
Key Down;A;568581
Key Up;A;568680
Key Down;Tab;574664
Key Up;Tab;575414
Key Down;Tab;575639
Key Up;Tab;575956
Key Down;A;578917
Key Up;A;579006
Key Down;Tab;580303
Key Up;Tab;580862
Key Down;Tab;586252
Key Up;Tab;587095
Key Down;A;604370
Key Up;A;604478
Key Down;Left Control;614450
Key Down;A;614680
Key Up;A;614834
Key Up;Left Control;614893
Key Down;A;618059
Key Up;A;618170
Key Down;A;621933
Key Up;A;622050
Key Down;A;622123
Key Up;A;622237
Key Down;Tab;627692
Key Up;Tab;628285
Key Down;A;629142
Key Up;A;629247
Key Down;Z;629695
Key Up;Z;629804
Key Down;A;636672
Key Up;A;636778
Key Down;E;657978
Key Up;E;658107
Key Down;A;658620
Key Up;A;658729
Key Down;A;658786
Key Up;A;658924
Key Down;A;659019
Key Down;Z;659056
Key Up;A;659109
Key Up;Z;659165
Key Down;Z;659218
Key Up;Z;659347
Key Down;A;660128
Key Up;A;660257
Key Down;E;660640
Key Up;E;660768
Key Down;E;661109
Key Up;E;661231
Key Down;E;661324
Key Up;E;661453
Key Down;E;662153
Key Up;E;662263
Key Down;E;662330
Key Up;E;662454
Key Down;E;662520
Key Up;E;662642
Key Down;F;663046
Key Up;F;663152
Key Down;E;663271
Key Up;E;663394
Key Down;E;663445
Key Up;E;663577
Key Down;A;663713
Key Up;A;663838
Key Down;A;663906
Key Up;A;664029
Key Down;R;664421
Key Up;R;664574
Key Down;D;666679
Key Up;D;666811
Key Down;A;669730
Key Up;A;669827
Key Down;A;669890
Key Up;A;670007
Key Down;A;670075
Key Up;A;670167
Key Down;A;673092
Key Up;A;673199
Key Down;A;673256
Key Up;A;673373
Key Down;A;673430
Key Up;A;673546
Key Down;Tab;675107
Key Up;Tab;675182
Key Down;A;678166
Key Up;A;678269
Key Down;A;678327
Key Up;A;678443
Key Down;B;685301
Key Up;B;685404
Key Down;Tab;685591
Key Up;Tab;691112
Key Down;Echap;696267
Key Up;Echap;696370
Key Down;Echap;698862
Key Up;Echap;698982
Key Down;Tab;700538
Key Up;Tab;701314
Key Down;Espace;704188
Key Down;Tab;704260
Key Up;Espace;704630
Key Down;Espace;704999
Key Up;Espace;706158
Key Down;Espace;706645
Key Up;Tab;716083
Key Up;Espace;716493
Key Down;Tab;723584
Key Up;Tab;724329
Key Down;A;729941
Key Up;A;730042
Key Down;A;743207
Key Up;A;743336
Key Down;A;763477
Key Up;A;763598
Key Down;A;769102
Key Up;A;769224
Key Down;A;769271
Key Up;A;769398
Key Down;Left Control;773708
Key Up;Left Control;773959
Key Down;A;794658
Key Up;A;794787
Key Down;A;794844
Key Up;A;794973
Key Down;A;800607
Key Up;A;800736
Key Down;A;800784
Key Up;A;800912
Key Down;Left Control;803724
Key Up;Left Control;804990
Key Down;Left Control;805571
Key Down;E;808588
Key Up;E;808732
Key Up;Left Control;809173
Key Down;A;827300
Key Up;A;827418
Key Down;A;827485
Key Up;A;827616
Key Down;Left Control;829389
Key Down;A;829532
Key Up;A;829674
Key Up;Left Control;829770
